emerge,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,loop2.thisRepN,loop2.thisTrialN,loop2.thisN,loop2.thisIndex,rating.response,key_resp_sound_end.keys,key_resp_sound_end.rt,delay_discount_key.keys,delay_discount_key.rt,text_4.started,text_4.stopped,participant,Num,gender,age,date,expName,psychopyVersion,frameRate,
,,,,,,,,,6,,,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
1,0,0,0,1,,,,,,right,0.742834499993478,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
2,0,1,1,3,,,,,,right,2.236197899997933,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
1.5,0,2,2,2,,,,,,right,1.2985308000061195,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
0.5,0,3,3,0,,,,,,right,0.5521321999985958,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
0.5,1,0,4,0,,,,,,right,0.6475294999981998,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
1.5,1,1,5,2,,,,,,right,1.3412400000088383,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
1,1,2,6,1,,,,,,right,1.242875299998559,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
2,1,3,7,3,,,,,,right,2.004686900007073,,,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,0,0,0,0,,,,left,1.5342335000023013,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,1,0,1,0,,,,right,1.3586585000011837,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,2,0,2,0,,,,right,0.396799900001497,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,3,0,3,0,,,,right,0.1507009999913862,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,4,0,4,0,,,,right,0.11926819999644067,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,5,0,5,0,,,,right,0.11367180000524968,,,zhang,001,male,20,2021_May_15_0912,paradigm1,2021.1.4,60.02854958243057,
,,,,,,,,,,,,,,76.12755489999836,None,,,,,,,,,
